siKoda;normalizirana;SLOVENSKI NAZIV
P81.8;P818;Druge opredeljene motnje uravnavanja telesne temperature novorojenčka
P81.9;P819;Motnja uravnavanja telesne temperature novorojenčka, neopredeljena
P83;P83;Druga stanja kože in sluznic, značilna za plod in novorojenčka
P83.0;P830;Sklerem novorojenčka
P83.1;P831;Toksični eritem novorojenčka
P83.2;P832;Hidrops plodu, ki ni posledica hemolitične bolezni
P83.3;P833;Druge vrste in neopredeljeni edem, značilen za plod in novorojenčka
P83.4;P834;Nabrekle dojke novorojenčka (ginekomastija novorojenčka)
P83.5;P835;Prirojena hidrokela
P83.6;P836;Popkovni polip novorojenčka
P83.8;P838;Druga opredeljena stanja kože in sluznic, značilna za plod in novorojenčka
P83.9;P839;Stanje kože in sluznic, značilno za plod in novorojenčka, neopredeljeno
P90;P90;Konvulzije novorojenčka
P91;P91;Druge motnje delovanja možganov novorojenčka
P91.0;P910;Možganska ishemija novorojenčka
P91.1;P911;Pridobljene periventrikularne ciste novorojenčka
P91.2;P912;Levkomalacija možganov novorojenčka
P91.3;P913;Možganska razdražljivost novorojenčka
P91.4;P914;Depresija možganov novorojenčka
P91.5;P915;Koma novorojenčka
P91.6;P916;Hipoksična ishemična encefalopatija novorojenčka
P91.8;P918;Druge opredeljene motnje delovanja možganov novorojenčka
P91.9;P919;Motnja delovanja možganov novorojenčka, neopredeljena
P92;P92;Težave pri hranjenju novorojenčka
P92.0;P920;Bruhanje novorojenčka
P92.1;P921;Bljuvanje in prežvekovanje novorojenčka
P92.2;P922;Počasno hranjenje novorojenčka
P92.3;P923;Nenahranjenost novorojenčka
P92.4;P924;Prenahranjenost novorojenčka
P92.5;P925;Težave pri dojenju novorojenčka
P92.8;P928;Druge težave pri hranjenju novorojenčka
P92.9;P929;Težava pri hranjenju novorojenčka, neopredeljena
P93;P93;Reakcije na zdravila, dana plodu ali novorojenčku, in zastrupitev z njimi
P94;P94;Motnje mišičnega tonusa novorojenčka
P94.0;P940;Prehodna myasthenia gravis novorojenčka
P94.1;P941;Prirojeni mišični hipertonus
P94.2;P942;Prirojeni mišični hipotonus
P94.8;P948;Druge motnje mišičnega tonusa novorojenčka
P94.9;P949;Motnja mišičnega tonusa novorojenčka, neopredeljena
P95;P95;Fetalna smrt zaradi neopredeljenega vzroka
P96;P96;Druga stanja, ki izvirajo v perinatalnem (obporodnem) obdobju
P96.0;P960;Prirojena ledvična odpoved
P96.1;P961;Abstinenčni znaki pri novorojenčku zaradi materine zasvojenosti z drogami
P96.2;P962;Abstinenčni znaki zaradi terapevtske uporabe zdravil pri novorojenčku
P96.3;P963;Široko razprti lobanjski šivi novorojenčka
P96.4;P964;Prekinitev nosečnosti, plod ali novorojenček
P96.5;P965;Zapleti zaradi intrauterinih posegov, ki niso uvrščeni drugje
P96.50;P9650;Plod in novorojenček prizadeta zaradi neopredeljenega intrauterinega posega
P96.51;P9651;Plod in novorojenček prizadeta zaradi amniocenteze
P96.52;P9652;Plod in novorojenček prizadeta zaradi biopsije horijskih resic
P96.53;P9653;Plod in novorojenček prizadeta zaradi kordocenteze
P96.54;P9654;Plod in novorojenček prizadeta zaradi zapletov pri kirurških posegih na plodu
P96.59;P9659;Plod in novorojenček prizadeta zaradi drugih intrauterinih postopkov
P96.8;P968;Druga opredeljena stanja, ki izvirajo v perinatalnem obdobju
P96.81;P9681;Tremor pri novorojenčku
P96.89;P9689;Druga opredeljena stanja, ki izvirajo v perinatalnem obdobju
P96.9;P969;Stanje, ki izvira v perinatalnem obdobju, neopredeljeno
Q00;Q00;Anencefalija in podobne malformacije
Q00.0;Q000;Anencefalija
Q00.00;Q0000;Anencefalija nespecifična
Q00.01;Q0001;Anencefalija, nepopolna
Q00.09;Q0009;Anencefalija, druga
Q00.1;Q001;Kraniorahishiza
Q00.2;Q002;Iniencefalija
Q00.20;Q0020;Iniencefalija nespecifična
Q00.21;Q0021;Iniencefalija, odprta
Q00.22;Q0022;Iniencefalija, zaprta
Q01;Q01;Encefalokela
Q01.0;Q010;Čelna encefalokela
Q01.1;Q011;Nosno-čelna encefalokela
Q01.2;Q012;Zatilna encefalokela
Q01.8;Q018;Encefalokela na drugih mestih
Q01.81;Q0181;Parietalna encefalokela
Q01.82;Q0182;Orbitalna encefalokela
Q01.83;Q0183;Nazalna encefalokela
Q01.84;Q0184;Nazofaringealna encefalokela
Q01.89;Q0189;Encefalokela na drugih mestih
Q01.9;Q019;Encefalokela, neopredeljena
Q02;Q02;Mikrocefalija
Q03;Q03;Prirojeni hidrocefalus (vodenoglavost)
Q03.0;Q030;Malformacije Silvijevega akvedukta
Q03.1;Q031;Atrezija Magendiejeve in Luschkove odprtine
Q03.8;Q038;Druge vrste prirojeni hidrocefalus
Q03.9;Q039;Prirojeni hidrocefalus, neopredeljen
Q04;Q04;Druge prirojene malformacije možganov
Q04.0;Q040;Prirojene malformacije korpusa kalozuma
Q04.00;Q0400;Prirojene malformacije korpusa kalozuma, nespecifične
Q04.01;Q0401;Agenezija korpusa kalozuma
Q04.09;Q0409;Druge prirojene malformacije korpusa kalozuma
Q04.1;Q041;Arinencefalija
Q04.2;Q042;Holoprozencefalija
Q04.3;Q043;Druge deformacije z redukcijo možganov
Q04.31;Q0431;Deformacija z redukcijo velikih možganov
Q04.32;Q0432;Deformacija z redukcijo hipotalamusa
Q04.33;Q0433;Deformacija z redukcijo malih možganov
Q04.34;Q0434;Agirija in lizencefalija
Q04.35;Q0435;Mikrogirija in pahigirija
Q04.36;Q0436;Hidranencefalija
Q04.39;Q0439;Druge anomalije z redukcijo možganov
Q04.4;Q044;Septo-optična displazija
Q04.5;Q045;Megalencefalija
Q04.6;Q046;Prirojene možganske ciste
Q04.60;Q0460;Prirojena možganska cista, nespecifična
Q04.61;Q0461;Enojna prirojena možganska cista
Q04.62;Q0462;Številne prirojene možganske ciste
Q04.8;Q048;Druge opredeljene prirojene malformacije možganov
Q04.9;Q049;Prirojena malformacija možganov, neopredeljena
Q05;Q05;Spina bifida
Q05.0;Q050;Vratna spina bifida s hidrocefalusom
Q05.00;Q0500;Vratna spina bifida s hidrocefalusom, nedoločena, lezija odprta ali zaprta
Q05.01;Q0501;vratna spina bifida s hidrocefalusom, odprta, nepokrita s kožo ali membrano
Q05.02;Q0502;vratna spina bifida s hidrocefalusom, zaprta, cistična, pokrita s kožo ali membrano
Q05.1;Q051;Spina bifida prsne hrbtenice s hidrocefalusom
Q05.10;Q0510;Spina bifida prsne hrbtenice s hidrocefalusom, nedoločena, lezija odprta ali zaprta
Q05.11;Q0511;Spina bifida prsne hrbtenice s hidrocefalusom, odprta, nepokrita s kožo ali membrano
Q05.12;Q0512;Spina bifida prsne hrbtenice s hidrocefalusom, zaprta, cistična, pokrita s kožo ali membrano
Q05.2;Q052;Ledvena spina bifida s hidrocefalusom
Q05.20;Q0520;Ledvena spina bifida s hidrocefalusom, nedoločena, lezija odprta ali zaprta
Q05.21;Q0521;Ledvena spina bifida s hidrocefalusom, odprta, nepokrita s kožo ali membrano
Q05.22;Q0522;Ledvena spina bifida s hidrocefalusom, zaprta, cistična, pokrita s kožo ali membrano 
Q05.3;Q053;Spina bifida križne hrbtenice s hidrocefalusom
Q05.30;Q0530;Spina bifida križne hrbtenice s hidrocefalusom, nedoločena, lezija odprta ali zaprta
Q05.31;Q0531;Spina bifida križne hrbtenice s hidrocefalusom, odprta, nepokrita s kožo ali membrano
Q05.32;Q0532;Spina bifida križne hrbtenice s hidrocefalusom, zaprta, cistična, pokrita s kožo ali membrano 
Q05.4;Q054;Neopredeljena spina bifida s hidrocefalusom
Q05.40;Q0540;Neopredeljena spina bifida s hidrocefalusom, nedoločena, lezija odprta ali zaprta
Q05.41;Q0541;Neopredeljana spina bifida s hidrocefalusom, odprta, nepokrita s kožo ali membrano 
Q05.42;Q0542;Neopredeljana spina bifida s hidrocefalusom, zaprta, cistična, pokrita s kožo ali membrano 
Q05.5;Q055;Vratna spina bifida brez hidrocefalusa
Q05.50;Q0550;Vratna spina bifida brez hidrocefalusa, nedoločena, lezija odprta ali zaprta
Q05.51;Q0551;Vratna spina bifida brez hidrocefalusa, odprta, nepokrita s kožo ali membrano 
Q05.52;Q0552;Vratna spina bifida brez hidrocefalusa, zaprta, cistična, pokrita s kožo ali membrano 
Q05.6;Q056;Spina bifida prsne hrbtenice brez hidrocefalusa
Q05.60;Q0560;Spina bifida prsne hrbtenice brez hidrocefalusa, nedoločena, lezija odprta ali zaprta
Q05.61;Q0561;Spina bifida prsne hrbtenice brez hidrocefalusa, odprta, nepokrita s kožo ali membrano 
Q05.62;Q0562;Spina bifida prsne hrbtenice brez hidrocefalusa, zaprta, cistična, pokrita s kožo ali membrano 
Q05.7;Q057;Spina bifida ledvene hrbtenice brez hidrocefalusa
Q05.70;Q0570;Spina bifida ledvene hrbtenice brez hidrocefalusa, nedoločena, lezija odprta ali zaprta
Q05.71;Q0571;Spina bifida ledvene hrbtenice brez hidrocefalusa, odprta, nepokrita s kožo ali membrano 
Q05.72;Q0572;Spina bifida ledvene hrbtenice brez hidrocefalusa
Q05.8;Q058;Spina bifida križne hrbtenice brez hidrocefalusa
Q05.80;Q0580;Spina bifida križne hrbtenice brez hidrocefalusa, nedoločena, lezija odprta ali zaprta
Q05.81;Q0581;Spina bifida križne hrbtenice brez hidrocefalusa, odprta, nepokrita s kožo ali membrano 
Q05.82;Q0582;Spina bifida križne hrbtenice brez hidrocefalusa, zaprta, cistična, pokrita s kožo ali membrano 
Q05.9;Q059;Spina bifida, neopredeljena
Q05.90;Q0590;Spina bifida, neopredeljena, nedoločena, lezija odprta ali zaprta
Q05.91;Q0591;Spina bifida, neopredeljena, odprta, nepokrita s kožo ali membrano 
Q05.92;Q0592;Spina bifida, neopredeljena, zaprta, cistična, pokrita s kožo ali membrano 
Q06;Q06;Druge prirojene malformacije hrbtnega mozga
Q06.0;Q060;Amielija
Q06.1;Q061;Hipoplazija in displazija hrbtnega mozga
Q06.2;Q062;Diastematomielija
Q06.3;Q063;Druge prirojene malformacije kavde ekvine
Q06.4;Q064;Hidromielija
Q06.8;Q068;Druge opredeljene prirojene malformacije hrbtnega mozga
Q06.9;Q069;Prirojena malformacija hrbtnega mozga, neopredeljena
Q07;Q07;Druge prirojene malformacije živčevja
Q07.0;Q070;Arnold-Chiarijev sindrom
Q07.8;Q078;Druge opredeljene prirojene malformacije živčevja
Q07.81;Q0781;Sindrom utripajoče čeljusti
Q07.82;Q0782;Hipoplazija vidnega živca
Q07.89;Q0789;Druge specifične prirojene malformacije živčnega sistema
Q07.9;Q079;Prirojena malformacija živčevja, neopredeljena
Q10;Q10;Prirojene malformacije veke, solznega aparata in očnice
Q10.0;Q100;Prirojena ptoza
Q10.1;Q101;Prirojeni ektropion
Q10.2;Q102;Prirojeni entropion
Q10.3;Q103;Druge prirojene malformacije veke
Q10.4;Q104;Odsotnost in agenezija solznega aparata
Q10.5;Q105;Prirojena zožitev in zažetje solzovoda
Q10.6;Q106;Druge prirojene malformacije solznega aparata
Q10.7;Q107;Prirojena malformacija očnice
Q11;Q11;Anoftalmus, mikroftalmus in makroftalmus
Q11.0;Q110;Cistično zrklo
Q11.1;Q111;Druge anoftalmije
Q11.2;Q112;Mikroftalmus
Q11.3;Q113;Makroftalmus
Q12;Q12;Prirojene malformacije leče
Q12.0;Q120;Prirojena siva mrena (katarakta)
Q12.1;Q121;Prirojena luksacija leče
Q12.2;Q122;Kolobom leče
Q12.3;Q123;Prirojena afakija
Q12.4;Q124;Sferofakija
Q12.8;Q128;Druge prirojene malformacije leče
Q12.9;Q129;Prirojena malformacija leče, neopredeljena
Q13;Q13;Prirojene malformacije sprednjega segmenta očesa
Q13.0;Q130;Kolobom šarenice
Q13.1;Q131;Odsotnost šarenice
Q13.2;Q132;Druge prirojene malformacije šarenice
Q13.3;Q133;Prirojena motnjava roženice
Q13.4;Q134;Druge prirojene malformacije roženice
Q13.5;Q135;Modra roženica
Q13.8;Q138;Druge prirojene malformacije sprednjega očesnega segmenta
Q13.9;Q139;Prirojena malformacija sprednjega očesnega segmenta, neopredeljena
Q14;Q14;Prirojene malformacije zadnjega segmenta očesa
Q14.0;Q140;Prirojena malformacija steklovine
Q14.1;Q141;Prirojena malformacija mrežnice
Q14.2;Q142;Prirojena malformacija optičnega diska
Q14.3;Q143;Prirojena malformacija žilnice
Q14.8;Q148;Druge prirojene malformacije zadnjega segmenta očesa
Q14.9;Q149;Prirojena malformacija zadnjega segmenta očesa, neopredeljena
Q15;Q15;Druge prirojene malformacije očesa
Q15.0;Q150;Prirojeni glavkom
Q15.8;Q158;Druge opredeljene prirojene malformacije očesa
Q15.9;Q159;Prirojena malformacija očesa, neopredeljena
Q16;Q16;Prirojene malformacije ušesa, ki prizadenejo sluh
Q16.0;Q160;Prirojena odsotnost ušesa
Q16.1;Q161;Prirojena odsotnost, atrezija in striktura (zunanjega) sluhovoda
Q16.2;Q162;Odsotnost Eustachijeve cevi
Q16.3;Q163;Prirojena malformacija ušesnih koščic
Q16.4;Q164;Druge prirojene malformacije srednjega ušesa
Q16.5;Q165;Prirojena malformacija notranjega ušesa
Q16.9;Q169;Prirojena malformacija ušesa, ki prizadene sluh, neopredeljena
Q17;Q17;Druge prirojene malformacije ušesa
Q17.0;Q170;Dodatni uhelj
Q17.1;Q171;Makrotija
Q17.2;Q172;Mikrotija
Q17.3;Q173;Druge nepravilnosti uhljev
Q17.4;Q174;Napačno postavljeni uhlji
Q17.5;Q175;Štrleča ušesa
Q17.8;Q178;Druge opredeljene prirojene malformacije ušesa
Q17.9;Q179;Prirojena malformacija ušesa, neopredeljena
Q18;Q18;Druge prirojene malformacije obraza in vratu
Q18.0;Q180;Sinus, fistula in cista škržne reže
Q18.1;Q181;Preduheljni sinus in cista
Q18.2;Q182;Druge malformacije škržne reže
Q18.3;Q183;Vratne gube
Q18.4;Q184;Makrostomija
Q18.5;Q185;Mikrostomija
Q18.6;Q186;Makroheilija
Q18.7;Q187;Mikroheilija
Q18.8;Q188;Druge opredeljene prirojene malformacije obraza in vratu
Q18.9;Q189;Prirojena malformacija obraza in vratu, neopredeljena
Q20;Q20;Prirojene malformacije  srčnih votlin in njihovih povezav
Q20.0;Q200;Skupno arterijsko deblo
Q20.1;Q201;Desni prekat z dvojnim iztokom
Q20.2;Q202;Levi prekat z dvojnim iztokom
Q20.3;Q203;Neskladna (diskordantna) prekatno-arterijska povezava
Q20.4;Q204;Prekat z dvojnim vtokom
Q20.5;Q205;Neskladna preddvorno-prekatna povezava
Q20.6;Q206;Izomerizem avrikul
Q20.8;Q208;Druge prirojene malformacije srčnih votlin in njihovih povezav
Q20.9;Q209;Prirojena malformacija srčnih votlin in njihovih povezav, neopredeljena
Q21;Q21;Prirojene malformacije srčnih pretinov
Q21.0;Q210;Prekatni defekt pretina (defekt v pretinu prekatov)
Q21.00;Q2100;Neopredeljen defekt pretina prekatov
Q21.01;Q2101;Mišični defekt pretina prekatov
Q21.02;Q2102;Perimembranozni defekt pretina prekatov
Q21.09;Q2109;Drugi defekt pretina prekatov
Q21.1;Q211;Preddvorni defekt pretina (defekt v pretinu preddvorov)
Q21.10;Q2110;Neopredeljen defekt pretina preddvorov
Q21.11;Q2111;Perzistentni foramen ovale
Q21.12;Q2112;Defekt venoznega sinusa
Q21.19;Q2119;Drugi defekt pretina preddvorov
Q21.2;Q212;Preddvorno-prekatni defekt pretina (atrioventrikularni septalni defekt)
Q21.3;Q213;Fallotova tetralogija
Q21.4;Q214;Aortopulmonalni defekt pretina
Q21.8;Q218;Druge prirojene hibe srčnih pretinov
Q21.9;Q219;Prirojena malformacija srčnega pretina, neopredeljena
Q22;Q22;Prirojene malformacije pljučne in trikuspidalne zaklopke
Q22.0;Q220;Atrezija pljučne zaklopke
Q22.1;Q221;Prirojena stenoza pljučne zaklopke
Q22.2;Q222;Prirojena insuficienca pljučne zaklopke
Q22.3;Q223;Druge prirojene malformacije pljučne zaklopke
Q22.4;Q224;Prirojena stenoza in atrezija trikuspidalne zaklopke 
Q22.41;Q2241;Prirojena zožitev trikuspidalne zaklopke
Q22.42;Q2242;Prirojena atrezija trikuspidalne zaklopke
Q22.5;Q225;Ebsteinova nenormalnost (anomalija)
Q22.6;Q226;Sindrom hipoplastičnega desnega srca
Q22.8;Q228;Druge prirojene malformacije trikuspidalne zaklopke
Q22.9;Q229;Prirojena malformacija trikuspidalne zaklopke, neopredeljena
Q23;Q23;Prirojene malformacije aortne in mitralne zaklopke
Q23.0;Q230;Prirojena stenoza in atrezija aortne zaklopke
Q23.01;Q2301;Prirojena zožitev aortne zaklopke 
Q23.02;Q2302;Prirojena atrezija aortne zaklopke
Q23.1;Q231;Prirojena insuficienca aortne zaklopke
Q23.2;Q232;Prirojena stenoza in atrezija mitralne zaklopke
Q23.21;Q2321;Prirojena zožitev mitralne zaklopke
Q23.22;Q2322;Prirojena atrezija mitralne zaklopke
Q23.3;Q233;Prirojena insuficienca mitralne zaklopke
Q23.4;Q234;Sindrom hipoplastičnega levega srca
Q23.8;Q238;Druge prirojene malformacije aortne in mitralne zaklopke
Q23.9;Q239;Prirojena malformacija aortne in mitralne zaklopke, neopredeljena
Q24;Q24;Druge prirojene srčne malformacije
Q24.0;Q240;Dekstrokardija
Q24.1;Q241;Levokardija
Q24.2;Q242;Srce s tremi preddvori
Q24.3;Q243;Infundibularna stenoza pljučne zaklopke
Q24.4;Q244;Prirojena subaortna stenoza
Q24.5;Q245;Malformacije koronarnih žil
Q24.6;Q246;Prirojeni srčni blok
Q24.8;Q248;Druge opredeljene prirojene srčne malformacije
Q24.9;Q249;Prirojena srčna malformacija, neopredeljena
Q25;Q25;Prirojene malformacije velikih arterij
Q25.0;Q250;Odprti ductus arteriosus
Q25.1;Q251;Koarktacija aorte
Q25.2;Q252;Atrezija aorte
Q25.3;Q253;Stenoza aorte
Q25.4;Q254;Druge prirojene malformacije aorte
Q25.5;Q255;Atrezija pljučne arterije
Q25.6;Q256;Stenoza pljučne arterije
Q25.7;Q257;Druge prirojene malformacije pljučne arterije
Q25.8;Q258;Druge prirojene malformacije velikih arterij 
Q25.9;Q259;Prirojena malformacija velikih arterij, neopredeljena
Q26;Q26;Prirojene malformacije velikih ven
Q26.0;Q260;Prirojena stenoza vene kave
Q26.1;Q261;Persistentna leva zgornja vena kava
Q26.2;Q262;Popolnoma nepravilna povezava pljučnih ven
Q26.3;Q263;Delno nepravilna povezava pljučnih ven
Q26.4;Q264;Nepravilna povezava pljučnih ven, neopredeljena
Q26.5;Q265;Nepravilna povezava portalne vene
Q26.6;Q266;Fistula med portalno veno in jetrno arterijo
Q26.8;Q268;Druge prirojene hibe velikih ven
Q26.9;Q269;Prirojena malformacija velike vene, neopredeljena
Q27;Q27;Druge prirojene malformacije perifernega žilja
Q27.0;Q270;Prirojena odsotnost in hipoplazija popkovne arterije
Q27.1;Q271;Prirojena stenoza ledvične arterije
Q27.2;Q272;Druge prirojene malformacije ledvične arterije
Q27.3;Q273;Periferna arteriovenska malformacija (AVM)
Q27.4;Q274;Prirojena flebektazija
Q27.8;Q278;Druge opredeljene prirojene malformacije perifernega žilja
Q27.9;Q279;Prirojena malformacija perifernega žilja, neopredeljena
Q28;Q28;Druge prirojene malformacije obtočil
Q28.0;Q280;Arteriovenska malformacija (AVM) predmožganskih žil
Q28.1;Q281;Druge malformacije predmožganskih žil
Q28.2;Q282;Arteriovenska malformacija (AVM) možganskih žil
Q28.3;Q283;Druge malformacije možganskih žil
Q28.8;Q288;Druge opredeljene prirojene malformacije obtočil
Q28.9;Q289;Prirojena malformacija obtočil, neopredeljena
Q30;Q30;Prirojene malformacije nosu
Q30.0;Q300;Atrezija hoan
Q30.1;Q301;Agenezija in nepopolni razvoj nosu
Q30.2;Q302;Razpoka, zareza in razcep nosu
Q30.3;Q303;Prirojeni perforirani nosni pretin
Q30.8;Q308;Druge prirojene malformacije nosu
Q30.9;Q309;Prirojena malformacija nosu, neopredeljena
Q31;Q31;Prirojene malformacije larinksa (grla)
Q31.0;Q310;Laringealna guba
Q31.1;Q311;Prirojena subglotisna stenoza
Q31.2;Q312;Hipoplazija grla
Q31.3;Q313;Laringokela
Q31.5;Q315;Prirojena laringomalacija
Q31.8;Q318;Druge prirojene malformacije larinksa
Q31.9;Q319;Prirojena malformacija larinksa, neopredeljena
Q32;Q32;Prirojene malformacije traheje (sapnika) in bronhija (sapnice)
Q32.0;Q320;Prirojena traheomalacija
Q32.1;Q321;Druge prirojene malformacije sapnika
Q32.2;Q322;Prirojena bronhomalacija
Q32.3;Q323;Prirojena stenoza bronhija
Q32.4;Q324;Druge prirojene malformacije bronhija
Q33;Q33;Prirojene malformacije pljuč
Q33.0;Q330;Prirojena cistična pljuča
